NAME,MEDIAN_INCOME,BACHELORS_PERCENT,POPULATION,UNEMPLOYMENT_RATE,ZIP_CODE
ZCTA5 00601,17526.0,1773.0,16834.0,1358.0,00601
ZCTA5 00602,20260.0,4767.0,37642.0,936.0,00602
ZCTA5 00603,17703.0,6001.0,49075.0,2594.0,00603
ZCTA5 00606,19603.0,287.0,5590.0,83.0,00606
ZCTA5 00610,22796.0,3199.0,25542.0,791.0,00610
ZCTA5 00611,22525.0,179.0,1315.0,119.0,00611
ZCTA5 00612,22305.0,9930.0,63312.0,4034.0,00612
ZCTA5 00616,23652.0,1329.0,9625.0,592.0,00616
ZCTA5 00617,20328.0,2960.0,22573.0,1295.0,00617
ZCTA5 00622,22818.0,956.0,7577.0,411.0,00622
ZCTA5 00623,23132.0,6425.0,39406.0,2220.0,00623
ZCTA5 00624,20101.0,3202.0,21648.0,807.0,00624
ZCTA5 00627,23263.0,3630.0,32733.0,617.0,00627
ZCTA5 00631,15658.0,273.0,1431.0,76.0,00631
ZCTA5 00636,-666666666.0,102.0,1057.0,0.0,00636
ZCTA5 00637,20568.0,3310.0,22882.0,773.0,00637
ZCTA5 00638,19796.0,1663.0,17605.0,933.0,00638
ZCTA5 00641,17673.0,3093.0,24299.0,2307.0,00641
ZCTA5 00646,31330.0,5841.0,35926.0,2051.0,00646
ZCTA5 00647,17143.0,434.0,4702.0,398.0,00647
ZCTA5 00650,20363.0,1625.0,13767.0,1454.0,00650
ZCTA5 00652,26148.0,672.0,3924.0,170.0,00652
ZCTA5 00653,13777.0,639.0,8980.0,962.0,00653
ZCTA5 00656,21456.0,2475.0,18121.0,1150.0,00656
ZCTA5 00659,23899.0,5857.0,37066.0,853.0,00659
ZCTA5 00660,22556.0,2671.0,15483.0,991.0,00660
ZCTA5 00662,20283.0,5882.0,40480.0,897.0,00662
ZCTA5 00664,17966.0,1669.0,14967.0,880.0,00664
ZCTA5 00667,16889.0,2824.0,23370.0,1668.0,00667
ZCTA5 00669,18838.0,2967.0,27529.0,1054.0,00669
ZCTA5 00670,16644.0,913.0,8746.0,200.0,00670
ZCTA5 00674,20088.0,5110.0,39385.0,2390.0,00674
ZCTA5 00676,20160.0,4663.0,36683.0,2988.0,00676
ZCTA5 00677,26404.0,2152.0,15304.0,342.0,00677
ZCTA5 00678,19558.0,2815.0,25039.0,492.0,00678
ZCTA5 00680,16535.0,5398.0,43173.0,3332.0,00680
ZCTA5 00682,17385.0,3724.0,30414.0,2716.0,00682
ZCTA5 00683,18132.0,3813.0,29547.0,543.0,00683
ZCTA5 00685,17481.0,4720.0,40346.0,1968.0,00685
ZCTA5 00687,22282.0,2995.0,28659.0,1698.0,00687
ZCTA5 00688,17273.0,1417.0,11478.0,688.0,00688
ZCTA5 00690,23343.0,860.0,5781.0,177.0,00690
ZCTA5 00692,25289.0,3764.0,33302.0,2875.0,00692
ZCTA5 00693,23791.0,7751.0,55570.0,3485.0,00693
ZCTA5 00694,-666666666.0,0.0,98.0,0.0,00694
ZCTA5 00698,19818.0,5212.0,33506.0,1540.0,00698
ZCTA5 00703,23045.0,2690.0,24475.0,524.0,00703
ZCTA5 00704,19845.0,757.0,6831.0,96.0,00704
ZCTA5 00705,22679.0,2740.0,24401.0,540.0,00705
ZCTA5 00707,21765.0,744.0,10487.0,743.0,00707
ZCTA5 00714,18496.0,2249.0,15797.0,487.0,00714
ZCTA5 00715,16250.0,110.0,2040.0,0.0,00715
ZCTA5 00716,20184.0,4967.0,27166.0,1012.0,00716
ZCTA5 00717,14164.0,2440.0,15029.0,804.0,00717
ZCTA5 00718,20414.0,2771.0,23289.0,756.0,00718
ZCTA5 00719,20533.0,3049.0,29523.0,1747.0,00719
